Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,clustering,eigencentrality,componentnumber,strongcompnum
"生命科学学院王俞娜151314066",生命科学学院王俞娜151314066,,4,1,5,8,4,12,0,0,0,0,3,0.003614,0.333333,0.277808,1,49
hwh2552163com,hwh2552163com,,0,3,3,0,11,11,1,1,1,0,13,0.001803,0,0,1,125
"云mooc693",云mooc693,,1,1,2,2,2,4,0,0,0,0,8,0.001803,0,0.006576,6,126
"海山2号",海山2号,,2,0,2,3,0,3,0,0,0,0,3,0.003012,0.5,0.200823,1,43
"生技1171郑晨禧",生技1171郑晨禧,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,77
mooc68365689006433340,mooc68365689006433340,,1,0,1,3,0,3,0,0,0,0,3,0.002024,0,0.146426,1,76
mooc1536767505865,mooc1536767505865,,2,2,4,3,6,9,1,1,1,1,13,0.003353,0.333333,0.013152,1,127
"暖mooc274",暖mooc274,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,75
mooc76982555729566720,mooc76982555729566720,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,74
mooc43680864252108407,mooc43680864252108407,,1,1,2,2,2,4,0,0,0,0,9,0.001803,0,0.006576,7,128
mooc12771581804156469,mooc12771581804156469,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,73
mooc42056312536204026,mooc42056312536204026,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,72
mooc11936314571596922,mooc11936314571596922,,1,1,2,3,1,4,3,0.480159,0.488981,0,3,0.002024,0,0.146426,1,107
"什么昵称不被占用",什么昵称不被占用,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,71
"小翅膀-徐",小翅膀-徐,,1,1,2,1,1,2,3,0.480159,0.488981,0,3,0.002024,0,0.146426,1,107
yy-Estelle,yy-Estelle,,0,4,4,0,18,18,4,0.333333,0.350271,0,13,0.001803,0.083333,0,1,130
happiness信使,happiness信使,,2,1,3,4,6,10,1,1,1,1,13,0.002965,0.166667,0.006977,1,129
"無訫cc",無訫cc,,0,2,2,0,4,4,2,0.75,0.833333,0,10,0.001803,0,0,1,131
"华生mooc19",华生mooc19,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,70
"芝麻小丸子",芝麻小丸子,,0,1,1,0,1,1,1,1,1,0,3,0.001803,0,0,1,132
"雨湿紫花",雨湿紫花,,3,0,3,10,0,10,0,0,0,0,3,0.004109,0,0.15649,1,36
"啦啦啦大米粒子",啦啦啦大米粒子,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,69
JiaYuAlice,JiaYuAlice,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,68
"李慧巧",李慧巧,,2,0,2,5,0,5,0,0,0,0,3,0.002559,0,0.153001,1,67
"海阔天空nj",海阔天空nj,,1,1,2,2,1,3,3,0.480159,0.488981,0,3,0.002024,0,0.146426,1,107
"梦想飞翔mooc1456689614915",梦想飞翔mooc1456689614915,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,66
yanhong69,yanhong69,,1,2,3,1,10,11,1,1,1,3.633929,13,0.002024,0,0.146426,1,65
njnu09150227,njnu09150227,,1,0,1,3,0,3,0,0,0,0,3,0.002024,0,0.146426,1,64
SinYita,SinYita,,2,4,6,3,9,12,2,0.75,0.833333,10.008929,5,0.003012,0.05,0.200823,1,63
mooc76256425342424618,mooc76256425342424618,,0,1,1,0,2,2,2,0.6,0.666667,0,13,0.001803,0,0,1,133
"顾捷成170310108",顾捷成170310108,,5,2,7,10,12,22,1,1,1,10.633929,13,0.00719,0.02381,0.160379,1,61
Agaveman,Agaveman,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,60
"雪mooc803",雪mooc803,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,59
"大婷儿mooc1",大婷儿mooc1,,1,1,2,2,1,3,3,0.480159,0.488981,0,3,0.002024,0,0.146426,1,107
mooc1507704497147,mooc1507704497147,,1,1,2,1,1,2,2,0.6,0.666667,12,3,0.002024,0,0.146426,1,58
mooc64079941847273009,mooc64079941847273009,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,56
"钟晓霞 20181605330128",钟晓霞 20181605330128,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,55
2018151621067彭光杰,2018151621067彭光杰,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,54
mooc39749753040648183,mooc39749753040648183,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,53
